Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-May-2025,545.65,569.30,543.30,565.40,559.864485126392576041,1027592,15383,575312266.00,329113,32.03,26.00,19.75
15-May-2025,541.80,546.35,537.35,543.00,541.335769235575140885,480178,8547,259937527.00,184114,38.34,9.00,1.20
14-May-2025,540.85,543.10,535.85,539.85,539.366206249432465973,495565,9607,267291014.00,158097,31.90,7.25,-1.00
13-May-2025,549.80,549.80,536.20,538.85,540.874918265887554619,385396,7873,208451030.00,134030,34.78,13.60,-10.95
12-May-2025,545.00,552.00,541.40,546.45,545.536293982413779148,1037858,16540,566189207.00,380926,36.70,10.60,1.45
9-May-2025,505.30,516.20,505.30,513.50,509.879425800193986420,515500,9844,262842844.00,139353,27.03,10.90,8.20
8-May-2025,533.30,541.90,515.30,520.05,529.720184463204974235,676124,15331,358156530.00,217253,32.13,26.60,-13.25
7-May-2025,518.30,538.90,517.30,532.30,531.090551475985463348,667554,11541,354531622.00,131937,19.76,21.60,14.00
6-May-2025,560.00,565.75,532.85,535.95,547.513073313642958162,712023,13410,389841901.00,203316,28.55,32.90,-24.05
5-May-2025,528.95,584.30,525.50,556.20,565.629325854374888938,2982590,46008,1687040371.00,669393,22.44,58.80,27.25
2-May-2025,529.50,543.70,523.05,524.90,531.911446873754785953,461768,9609,245619685.00,106496,23.06,20.65,-4.60
30-April-2025,550.00,551.95,526.35,531.95,540.204097237030493191,656540,14859,354665598.00,213448,32.51,25.60,-18.05
29-April-2025,559.40,562.00,546.55,548.65,554.131388201144028003,234260,4828,129810819.00,73126,31.22,15.45,-10.75
28-April-2025,548.60,557.25,541.60,552.60,551.349531948315824970,468538,9603,258328207.00,133837,28.56,15.65,4.00
25-April-2025,576.00,585.50,545.00,549.15,560.129217495311474838,688916,15683,385881980.00,186443,27.06,40.50,-26.85
24-April-2025,581.85,584.60,571.20,575.70,578.574112810400464936,442211,9197,255851837.00,186429,42.16,13.40,-6.15
23-April-2025,577.75,584.00,574.10,579.55,578.382260888663831760,327818,5901,189604116.00,91059,27.78,9.90,1.80
22-April-2025,574.00,579.50,569.00,573.20,574.632144721035874536,323823,5112,186079105.00,102949,31.79,10.50,-0.80
21-April-2025,550.40,585.00,549.20,568.95,572.176632439204299312,768681,13432,439821306.00,212300,27.62,35.80,18.55
17-April-2025,546.05,561.40,542.25,549.60,551.281166746501696919,490595,8335,270455784.00,112006,22.83,19.15,3.55
16-April-2025,544.15,547.35,538.25,545.40,542.982234302772028498,393286,8710,213547311.00,145873,37.09,9.10,1.25
15-April-2025,525.85,554.55,522.55,542.30,541.243318333363697644,658668,10371,356499654.00,222152,33.73,32.00,16.45
11-April-2025,519.00,524.35,514.30,518.10,518.430391251104721777,598567,10318,310315324.00,196589,32.84,10.05,-0.90
9-April-2025,513.00,513.95,505.00,508.50,507.959140958061819238,337306,6544,171337666.00,98097,29.08,8.95,-4.50
8-April-2025,526.30,526.30,508.00,513.70,515.121254665998105744,448725,9518,231147785.00,110305,24.58,18.30,-12.60
7-April-2025,513.95,515.25,472.05,510.95,496.359406675781434161,678752,15755,336904940.00,154065,22.70,43.20,-3.00
4-April-2025,527.50,539.80,521.95,532.50,530.480136053298549480,605645,11225,321282642.00,127984,21.13,17.85,5.00
3-April-2025,510.00,538.00,507.60,528.60,528.570026346567905342,1370577,24298,724445921.00,486232,35.48,30.40,18.60
2-April-2025,511.00,517.70,502.25,513.60,510.403794942301659870,449493,8343,229422933.00,126058,28.04,15.45,2.60
1-April-2025,508.65,513.20,502.00,504.70,507.519705564203361211,189515,4024,96182597.00,58725,30.99,11.20,-3.95
28-March-2025,521.05,525.50,508.00,509.20,517.121908748260202578,492155,8000,254504133.00,106777,21.70,17.50,-11.85
27-March-2025,495.95,523.90,493.00,519.65,509.003483652453300204,620613,10726,315894179.00,198773,32.03,30.90,23.70
26-March-2025,509.70,515.90,496.00,497.80,505.374676727345068006,638393,12599,322627656.00,199308,31.22,19.90,-11.90
25-March-2025,527.00,528.65,505.00,507.90,515.971522686040581551,598055,13287,308579349.00,223404,37.36,23.65,-19.10
24-March-2025,527.95,537.65,521.95,524.20,528.212963566511609532,506265,10156,267415736.00,172988,34.17,15.70,-3.75
21-March-2025,521.55,541.25,518.00,522.45,528.210867123800480264,547615,9780,289256194.00,131360,23.99,23.25,0.90
20-March-2025,526.00,527.40,514.50,519.45,520.467663449339136300,373602,8228,194447760.00,115111,30.81,12.90,-6.55
19-March-2025,516.60,526.80,514.05,521.15,521.853609013848780433,535354,10779,279376417.00,187678,35.06,12.75,4.55
18-March-2025,515.55,518.60,510.30,516.30,514.248725162313296412,259837,4200,133620846.00,72186,27.78,8.30,0.75
17-March-2025,512.00,518.00,508.70,510.70,513.402725072101365332,250342,4853,128526265.00,92934,37.12,9.30,-1.30
13-March-2025,518.95,527.15,510.00,511.95,517.435672211711294189,550221,11368,284703973.00,140312,25.50,17.15,-7.00
12-March-2025,515.20,520.50,506.00,512.45,512.705942484689510859,540969,9726,277358021.00,130157,24.06,14.50,-2.75
11-March-2025,501.10,513.35,498.00,510.40,505.743900588699399162,659080,11613,333325690.00,169260,25.68,15.35,9.30
10-March-2025,507.60,535.00,502.00,505.05,518.711545158078923147,1384182,24848,717991184.00,308780,22.31,33.00,-2.55
7-March-2025,506.95,511.40,499.10,506.15,505.018988756174764600,299809,4742,151409238.00,55362,18.47,12.30,-0.80
6-March-2025,508.50,510.40,500.25,503.00,505.232875510642872500,581375,10332,293729763.00,170776,29.37,10.15,-5.50
5-March-2025,483.30,511.80,483.30,505.55,501.227693553542887586,1173125,20018,588002738.00,330547,28.18,28.50,22.25
4-March-2025,482.95,488.25,476.15,483.55,483.892868557021359705,225284,4416,109013321.00,49928,22.16,12.10,0.60
3-March-2025,486.20,496.45,474.20,483.00,482.170764049639124290,607827,11127,293076409.00,126789,20.86,22.25,-3.20
28-February-2025,493.05,501.50,473.00,478.75,486.551344782141246922,692008,18550,336697423.00,141979,20.52,28.50,-14.30
27-February-2025,502.70,512.30,490.80,497.45,501.722914033022866082,825852,14957,414348872.00,138979,16.83,21.50,-5.25
25-February-2025,471.90,514.75,466.15,497.70,500.029537157176043196,2275913,38738,1138023724.00,435202,19.12,48.60,25.80
24-February-2025,478.00,478.20,468.00,470.15,472.642946861782834149,359854,9678,170082455.00,92603,25.73,10.20,-7.85
21-February-2025,484.50,489.75,475.50,478.80,481.974837237588334849,424238,9799,204472041.00,108311,25.53,14.25,-5.70
20-February-2025,479.45,494.95,477.50,484.65,486.516331550938257373,550009,11264,267588361.00,131336,23.88,17.45,5.20
19-February-2025,478.10,488.60,472.50,482.55,482.901253844064422625,526461,11837,254228677.00,114884,21.82,16.10,4.45
18-February-2025,492.95,494.40,481.70,484.85,488.701592953744207708,424055,9758,207236354.00,92894,21.91,12.70,-8.10
17-February-2025,480.45,494.75,472.25,490.30,485.060303087298815057,372170,8643,180524893.00,73664,19.79,22.50,9.85
14-February-2025,499.05,501.80,484.10,487.95,489.717301215865023825,270507,6537,132471958.00,67608,24.99,17.70,-11.10
13-February-2025,503.95,506.10,493.50,498.80,501.995495317631109619,303906,6319,152559443.00,69006,22.71,12.60,-5.15
12-February-2025,500.95,504.80,482.55,501.60,496.486780211545877614,956861,19343,475068837.00,185698,19.41,22.25,0.65
11-February-2025,491.40,511.85,488.20,498.15,499.601357243585241056,925405,18468,462333594.00,100578,10.87,23.65,6.75
10-February-2025,496.90,499.00,488.10,491.30,492.715926505525869827,246658,6625,121532325.00,61680,25.01,10.90,-5.60
7-February-2025,505.75,507.40,491.25,493.95,496.044725041923155775,570687,15120,283086276.00,158046,27.69,16.15,-11.80
6-February-2025,509.60,511.00,501.50,503.60,505.424138138499488598,166210,4466,84006546.00,57018,34.30,9.50,-6.00
5-February-2025,511.20,515.70,503.00,505.35,509.667076737553821803,411311,11981,209631675.00,123383,30.00,12.70,-5.85
4-February-2025,512.40,513.70,501.30,506.55,506.399906474924191658,414862,9774,210086078.00,112062,27.01,12.40,-5.85
3-February-2025,509.95,515.75,498.35,502.30,504.627809706683734926,224979,6463,113530660.00,60967,27.10,17.40,-7.65
1-February-2025,514.85,536.55,509.00,514.20,525.041109476141876494,1144432,20004,600873847.00,217544,19.01,27.55,-0.65
31-January-2025,504.80,516.40,504.50,513.25,511.352300438318185811,512185,11118,261906978.00,127773,24.95,11.90,8.45
30-January-2025,523.05,524.90,505.65,509.00,516.053108862402832986,311191,7334,160591083.00,69441,22.31,19.25,-14.05
29-January-2025,504.80,528.00,497.00,522.35,513.067637594922923081,505015,10461,259106853.00,70796,14.02,31.00,17.55
28-January-2025,496.95,506.55,483.05,497.10,496.696423596851225879,348199,8730,172949198.00,49410,14.19,23.50,0.15
27-January-2025,514.05,514.30,493.00,496.80,498.800170548174097419,520674,15446,259712280.00,137642,26.44,21.30,-17.25
24-January-2025,526.90,528.90,509.00,514.90,517.762836905860186134,332771,7669,172296457.00,53057,15.94,19.90,-12.00
23-January-2025,525.45,537.30,518.30,521.50,526.812252876778690174,293123,6634,154420788.00,43908,14.98,19.00,-3.95
22-January-2025,529.65,533.00,513.40,525.25,520.321543497834499728,503117,12691,261782614.00,133380,26.51,19.60,-4.40
21-January-2025,545.50,549.50,526.30,528.75,537.358503850058918129,539732,12199,290029580.00,115953,21.48,23.20,-16.75
20-January-2025,551.65,554.00,538.80,544.05,545.527095633757373360,362623,7205,197820672.00,64192,17.70,15.20,-7.60
17-January-2025,563.70,573.75,500.00,546.15,557.486243378744206602,776099,14667,432664516.00,161984,20.87,73.75,-17.55
16-January-2025,583.30,599.90,556.50,562.75,571.506841732077771834,1286224,22025,735085816.00,233052,18.12,43.40,-20.55
15-January-2025,539.30,571.50,523.05,549.30,549.499299547921114320,2923826,55100,1606640339.00,465994,15.94,48.45,10.00
14-January-2025,458.00,540.15,458.00,539.15,525.507725083893931110,5875276,74020,3087502925.00,1818681,30.95,82.15,81.15
13-January-2025,479.70,479.70,445.35,450.15,462.936132995095189749,373307,6908,172817299.00,81657,21.87,34.35,-29.55
10-January-2025,497.05,501.95,478.50,481.90,486.042404156420674164,263111,5952,127883103.00,60706,23.07,23.45,-15.15
9-January-2025,506.50,508.10,496.75,497.75,502.643871385071706924,126766,3051,63718153.00,32099,25.32,11.35,-8.75
8-January-2025,511.75,515.05,500.25,504.40,506.106677319811744245,354199,7388,179262479.00,79991,22.58,14.80,-7.35
7-January-2025,498.35,521.05,497.75,510.20,511.500985626283367556,413950,6713,211735833.00,71774,17.34,23.30,11.85
6-January-2025,519.95,520.00,493.50,497.95,504.738378350293556599,538908,17015,272007550.00,220695,40.95,26.50,-22.00
3-January-2025,522.40,532.00,517.95,520.50,524.853408364118865565,209514,4285,109964137.00,45499,21.72,14.05,-1.90
2-January-2025,529.00,529.10,520.35,521.70,524.395697957184593743,351182,8086,184158330.00,118136,33.64,8.75,-7.30
1-January-2025,534.35,534.35,524.75,527.00,528.634699156310517453,221527,3588,117106859.00,78969,35.65,9.60,-7.35
31-December-2024,535.45,537.20,523.40,529.15,529.108462418054335077,543958,11588,287812781.00,125745,23.12,13.80,-6.30
30-December-2024,507.05,558.70,501.60,539.70,527.551842634769615624,1544636,25599,814875568.00,568030,36.77,57.10,32.65
27-December-2024,510.05,513.65,504.25,506.95,508.659751447391288050,586918,12297,298541564.00,128472,21.89,9.40,-3.10
26-December-2024,498.00,515.70,495.65,507.20,507.322121988434311134,814651,15183,413290474.00,151002,18.54,20.05,9.20
24-December-2024,505.35,509.85,495.00,496.05,501.946822803496491897,241156,5449,121047488.00,85892,35.62,14.85,-9.30
23-December-2024,502.55,510.90,494.60,504.00,501.985848650100308038,498963,12997,250472365.00,112896,22.63,16.30,1.45
20-December-2024,510.35,527.00,492.00,498.45,512.382046332046332046,782180,19637,400774989.00,164134,20.98,35.00,-11.90
19-December-2024,510.65,516.40,507.00,508.45,511.041029520361664955,222084,5770,113494036.00,66160,29.79,9.40,-2.20
18-December-2024,524.05,529.80,517.65,521.10,522.248024096533062328,490029,12140,255916677.00,124456,25.40,12.15,-2.95
17-December-2024,529.00,541.75,522.00,524.90,531.197832501513483108,419562,7736,222870425.00,79137,18.86,19.75,-4.10
16-December-2024,538.15,539.00,522.50,529.00,532.534511825229186037,558171,10681,297245321.00,157793,28.27,16.50,-9.15
13-December-2024,544.95,544.95,531.90,536.95,537.648326299978542307,894784,13888,481079120.00,145557,16.27,13.05,-8.00
12-December-2024,519.25,561.85,513.30,540.05,543.511516114739600804,2787355,45951,1514959542.00,542030,19.45,48.55,20.80
11-December-2024,525.85,530.50,518.00,519.45,523.007682966214212732,529483,13738,276923677.00,171297,32.35,12.50,-6.40
10-December-2024,537.65,538.50,522.90,527.25,531.003566643733931998,220936,4972,117317804.00,67728,30.66,15.60,-10.40
9-December-2024,539.50,543.80,534.00,535.70,538.274875188275313510,590890,11726,318061241.00,171217,28.98,9.80,-3.80
6-December-2024,540.00,546.00,534.30,536.25,538.478608445516601094,262814,6140,141519717.00,86293,32.83,11.70,-3.75
5-December-2024,538.60,549.55,533.95,537.40,540.462502354247061699,499098,8669,269743754.00,102375,20.51,15.60,-1.20
4-December-2024,546.05,548.35,535.00,537.50,540.488584863608363099,845763,17858,457125247.00,299363,35.40,13.35,-8.55
3-December-2024,552.15,555.30,542.80,544.25,547.779910870965378133,1037148,20717,568128839.00,326495,31.48,12.50,-7.90
2-December-2024,564.70,566.00,543.25,549.00,551.329561485378469793,837874,17961,461944705.00,194119,23.17,22.75,-15.70
29-November-2024,563.40,587.70,542.45,554.55,568.255637539581451285,2673285,47689,1519109272.00,527877,19.75,45.25,-8.85
28-November-2024,535.05,583.75,532.05,560.20,561.624583764261191706,5422408,86530,3045357636.00,1096694,20.23,51.70,25.15
27-November-2024,435.50,525.30,432.10,523.80,491.610171793635889991,7178380,112762,3528964625.00,1619176,22.56,93.20,88.30
26-November-2024,450.00,455.65,433.25,437.75,441.123547828952788992,1966194,38268,867334473.00,403940,20.54,22.40,-12.25
25-November-2024,472.05,480.00,441.00,446.85,459.043532479583739879,2491519,47341,1143715683.00,617331,24.78,39.00,-25.20
22-November-2024,451.05,491.50,445.75,460.75,470.034740563212085141,4123278,69788,1938083905.00,1093445,26.52,45.75,9.70
21-November-2024,441.00,494.50,430.85,476.15,462.468786540742062343,4949099,109052,2288803809.00,1219822,24.65,63.65,35.15
19-November-2024,532.75,537.50,521.50,524.10,531.610786478409400745,187049,5190,99437266.00,57012,30.48,16.00,-8.65
18-November-2024,554.05,557.50,525.20,526.60,534.903633970340015389,570533,20335,305180175.00,186062,32.61,32.30,-27.45
14-November-2024,558.60,567.45,547.35,549.35,555.697253607604394747,461733,12981,256583760.00,91616,19.84,20.10,-9.25
13-November-2024,558.05,598.00,541.50,547.55,571.634618935712515802,633607,13948,362191696.00,74886,11.82,56.50,-10.50
12-November-2024,583.85,587.00,555.00,557.80,569.599411872524565080,125483,5136,71475043.00,49738,39.64,32.00,-26.05
11-November-2024,583.90,587.20,578.00,578.85,583.059509154502999394,102354,3666,59678473.00,48219,47.11,9.20,-5.05
8-November-2024,599.75,599.75,586.85,588.65,591.304231683041160983,77865,3549,46041904.00,33187,42.62,12.90,-11.10
7-November-2024,618.80,618.80,597.00,599.60,606.352063773731813531,220906,9896,133946809.00,87880,39.78,21.80,-19.20
6-November-2024,605.85,626.85,605.70,616.35,616.390696069512845446,191274,5815,117899514.00,50856,26.59,21.15,10.50
5-November-2024,583.85,607.50,581.00,603.35,592.093855465884079236,109040,3197,64561914.00,26806,24.58,26.50,19.50
4-November-2024,597.10,597.10,582.50,584.80,588.420170594346328394,109734,3629,64569699.00,35712,32.54,14.60,-12.30
1-November-2024,595.50,599.60,592.15,596.95,596.849714342988874411,99770,6082,59547696.00,47537,47.65,7.45,1.45
31-October-2024,599.05,609.10,589.90,592.85,597.453393406378808907,143381,4107,85663465.00,36027,25.13,19.20,-6.20
30-October-2024,594.00,599.50,584.45,591.45,592.984791300773513695,133805,3943,79344330.00,33665,25.16,15.05,-2.55
29-October-2024,578.05,596.25,578.05,591.80,589.472031227239813464,473689,12246,279226417.00,205009,43.28,18.20,13.75
28-October-2024,585.65,607.00,572.60,599.00,592.336274941028653300,538821,19119,319163224.00,136526,25.34,34.40,13.35
25-October-2024,605.10,612.50,584.75,592.35,594.042172497186504800,167052,5514,99235933.00,38174,22.85,27.75,-12.75
24-October-2024,587.05,612.00,586.00,604.60,602.215496768444213746,217697,6012,131100507.00,45704,20.99,26.00,17.55
23-October-2024,588.15,595.95,578.75,586.25,587.029032395056771458,259021,7797,152052847.00,57342,22.14,17.20,-1.90
22-October-2024,603.05,607.75,584.05,587.80,591.850641688406243652,438141,19333,259314032.00,180460,41.19,23.70,-15.25
21-October-2024,611.55,620.05,601.00,603.65,607.856406876885838389,241272,9239,146658731.00,94672,39.24,19.05,-7.90
18-October-2024,609.85,613.95,595.00,611.45,605.146822776777071941,312002,12336,188807019.00,101473,32.52,18.95,1.60
17-October-2024,625.55,628.00,607.65,609.15,615.873288839451242120,134850,5834,83050513.00,63663,47.21,20.35,-16.40
16-October-2024,632.95,635.75,621.85,625.55,626.792776467667866451,120855,5096,75751041.00,49731,41.15,13.90,-7.40
15-October-2024,638.05,640.55,632.00,633.40,634.829106217165918658,57486,2788,36493786.00,24621,42.83,8.55,-4.65
14-October-2024,642.00,645.65,631.25,634.35,638.230786485349782700,106995,4693,68287503.00,35291,32.98,14.40,-7.65
11-October-2024,645.00,645.00,637.25,641.75,641.483286783742077004,78411,3252,50299346.00,28496,36.34,7.75,-3.25
10-October-2024,642.75,648.00,631.05,645.00,638.478867921496798656,124479,3744,79477211.00,43767,35.16,16.95,2.25
9-October-2024,648.20,648.90,632.00,634.15,641.618438039163640312,165766,7047,106358522.00,68544,41.35,16.90,-14.05
8-October-2024,625.30,646.10,613.75,640.65,634.319899209712518611,218275,5660,138456176.00,54985,25.19,32.35,15.35
7-October-2024,641.05,645.00,614.00,625.30,624.570041713782188252,264421,7645,165149435.00,90943,34.39,31.00,-15.75
4-October-2024,635.05,647.80,635.00,642.00,641.670481394348738964,395310,12567,253658758.00,146475,37.05,12.80,6.95
3-October-2024,648.95,652.35,631.20,645.50,640.449930615158782997,498668,19693,319371886.00,221583,44.43,21.15,-3.45
1-October-2024,653.25,660.60,651.80,653.40,655.557996884644781780,103359,3271,67757819.00,49621,48.01,8.80,0.15
30-September-2024,654.30,662.35,648.50,656.05,655.151668228431152582,303076,11064,198560747.00,93535,30.86,13.85,1.75
27-September-2024,664.20,674.00,647.00,654.30,662.682820440474916409,308349,11572,204337585.00,111506,36.16,27.00,-9.90
26-September-2024,666.15,668.55,660.00,665.40,663.690466559732198898,71695,2792,47583288.00,27436,38.27,8.55,-0.75
25-September-2024,668.05,676.80,660.70,667.30,668.300623241516175299,272607,10038,182183428.00,115313,42.30,16.10,-0.75
24-September-2024,671.75,680.00,667.25,676.05,673.775217470779884087,186002,5590,125323538.00,66211,35.60,12.75,4.30
23-September-2024,665.30,674.50,661.00,671.75,667.601490785199830532,226592,7749,151273157.00,63832,28.17,13.50,6.45
20-September-2024,652.40,669.95,648.65,665.10,659.122643254920662220,383739,18298,252931064.00,191815,49.99,21.30,12.70
19-September-2024,656.95,658.25,637.05,649.80,647.531523118306856823,197030,6569,127583136.00,52096,26.44,21.20,-7.15
18-September-2024,664.95,668.10,650.00,651.30,657.596480868412621633,159187,4817,104680811.00,48637,30.55,18.10,-13.65
17-September-2024,666.00,673.95,652.30,666.20,661.866221940125597661,549851,17926,363927804.00,171265,31.15,21.65,0.20
